Error during initialization.;Fehler bei der Initialisierung
Bar[#Shift#] time is #Hour#:#Minute#;Kerze[#Shift#] Zeit ist #Hour#:#Minute#
Current date (in broker time), comparable with GetDate() function;Aktuelles Datum (zur Broker-Zeit), vergleichbar mitb der GetDate()-Funktion
Current day of week (in broker time). Sunday=0,Monday=1,Tuesday=2,Wednesday=3,Thursday=4,Friday=5,Saturday=6;Aktueller Wochentag (zur Broker-Zeit). Sonntag=0,Montag=1,Dienstag=2,Mittwoch=3,Donnerstag=4,Freitag=5,Samstag=6
Current day of week is #Day#;Aktueller Wochentag ist #Day#
Current hour (in broker time);Aktuelle Stunde (zur Broker-Zeit)
Current hour is #Hour#;Aktuelle Stunde ist #Hour#
Current minute (in broker time);Aktuelle Minute (zur Broker-Zeit)
Current minute is #Minute#;Aktuelle Minute ist #Minute#
Current time (in broker time);Aktuelle Zeit (zur Broker-Zeit)
Current time is #Hour#:#Minute#;Aktuelle Zeit ist #Hour#:#Minute#
Is triggered on bar open. This happens only once during the bar, so you can use this condition for strategies that should open the trade only on bar opening.;Wird bei Kerzeneröffnung ausgelöst. Dies geschieht nur einmal pro Kerze, du kannst diese Bedingung daher für Strategien verwenden, die Trades nur bei Kerzenöffnung öffnen.
Is Bar Open;Ist Kerzeneröffnung
IsBarOpen;IsBarOpen
Is triggered when BearishEngulfing pattern is formed;Wird ausgelöst, wenn BearishEngulfing-Muster sich gebildet hat
BearishEngulfing pattern;BearishEngulfing-Muster
BearishEngulfing pattern before #Shift# bars;BearishEngulfing-Muster vor #Shift# Kerzen
Is triggered when BullishEngulfing pattern is formed;Wird ausgelöst, wenn BullishEngulfing-Muster sich gebildet hat
BullishEngulfing pattern;BullishEngulfing-Muster
BullishEngulfing pattern before #Shift# bars;BullishEngulfing-Muster vor #Shift# Kerzen
Is triggered when DarkCloud pattern is formed;Wird ausgelöst, wenn DarkCloud-Muster sich gebildet hat
DarkCloud pattern;DarkCloud-Muster
DarkCloud pattern before #Shift# bars;DarkCloud-Muster vor #Shift# Kerzen
Is triggered when Doji pattern is formed;Wird ausgelöst, wenn Doji-Muster sich gebildet hat
Doji pattern;Doji-Muster
Doji pattern before #Shift# bars;Doji-Muster vor #Shift# Kerzen
Is triggered when Hammer pattern is formed;Wird ausgelöst, wenn Hammer-Muster sich gebildet hat
Hammer pattern;Hammer-Muster
Hammer pattern before #Shift# bars;Hammer-Muster vor #Shift# Kerzen
Is triggered when PiercingLine pattern is formed;Wird ausgelöst, wenn PiercingLine-Muster sich gebildet hat
PiercingLine pattern;PiercingLine-Muster
PiercingLine pattern before #Shift# bars;PiercingLine-Muster vor #Shift# Kerzen
Is triggered when ShootingStar pattern is formed;Wird ausgelöst, wenn ShootingStar-Muster sich gebildet hat
ShootingStar pattern;ShootingStar-Muster
ShootingStar pattern before #Shift# bars;ShootingStar-Muster vor #Shift# Kerzen
Crosses Above;Kreuzt nach oben
#Left# crosses above #Right#;#Left# kreuzt #Right# nach oben
Crosses Below;Kreuzt nach unten
#Left# crosses below #Right#;#Left# kreuzt #Right# nach unten
(=) Equals;(=) Ist gleich
#Left# = #Right#;#Left# = #Right#
Number of bars the value has to be falling;Anzahl an Kerzen, die der Wert gefallen sein muss
If set to true, then indicator doesn't have to be falling all the time, it can have some values that are equal (but it cannot be rising);Falls auf TRUE gesetzt, muss der Indikator nicht ununterbrochen gefallen sein, sondern kann einige gleiche Werte beinhalten (darf aber nicht gestiegen sein)
Is falling;Fällt
#Indicator# is falling;#Indicator# fällt
Bars falling;Kerzen fallend
Falling properties;Fallend: Eigenschaften
Allow same values;Gleiche Werte zulassen
(>) Is greater;(>) Ist größer
#Left# > #Right#;#Left# > #Right#
(>=) Is greater or equal;(>=) Ist größer oder gleich
#Left# >= #Right#;#Left# >= #Right#
(<) Is lower;(<) Ist kleiner
#Left# < #Right#;#Left# < #Right#
(<=) Is lower or equal;(<=) Ist kleiner oder gleich
#Left# <= #Right#;#Left# <= #Right#
Number of bars the value has to be rising;Anzahl an Kerzen, die der Wert gestiegen sein muss
If set to true, then indicator doesn't have to be rising all the time, it can have some values that are equal (but it cannot be falling);Falls auf TRUE gesetzt, muss der Indikator nicht ununterbrochen gestiegen sein, sondern kann einige gleiche Werte beinhalten (darf aber nicht gefallen sein)
Is rising;Steigt
#Indicator# is rising;#Indicator# steigt
Bars rising;Kerzen steigend
Rising properties;Steigend: Eigenschaften
Not;Nicht
Not #Value#;Nicht #Value#
(<>) Not equals;(<>) Ungleich
#Left# <> #Right#;#Left# <> #Right#
Absolute value of a number;Absoluter Wert einer Zahl
(ABS) Absolute value;(ABS) Absoluter Wert
Abs(#Value#);Abs(#Value#)
Converts real pips value (for example 0.002) to pips that can be used in stop loss or profit target. Example: converts 0.002 to 20. This is an opposite function to ConvertToRealPips();Konvertiert echten Pip-Wert (z.B. 0.002) in Pips, die für Stop-Loss oder Profitziel verwendet werden können. Beispiel: Konvertiert 0.002 in 20. Dies ist die gegenteilige Funktion zu ConvertToRealPips()
(2PIP) ConvertToPips;(2PIP) ConvertToPips
ConvertToPips(#Value#);ConvertToPips(#Value#)
Converts number to real pips that can be used as price level for price, stop loss or profit target. Example: converts 20 to 0.002. This is an opposite function to ConvertToPips();Konvertiert eine Zahl in echte Pips, die als Preislevel, für den Preis, Stop-Loss oder als Profitziel verwendte werden können. Beispiel: Konvertiert 20 in 0.002. Dies ist die gegenteilige Funktion zu ConvertToPips()
(2RPIP) ConvertToRealPips;(2RPIP) ConvertToRealPips
ConvertToRealPips(#Value#);ConvertToRealPips(#Value#)
Call your own function. You can specify any MQL command here or call a function defined in /Code/CustomFunctions.mq4 file. You are responsible for using the function correctly;Rufe deine eigene Funktion auf. Du kannst hier jeden MQL-Befehl angeben oder eine Funktion aufrufen, die in der Datei /Code/CustomFunctions.mq4 definiert ist. Du bist dafür verantwortlich, die Funktion korrekt zu verwenden
(CUST) Custom function;(CUST) Benutzerdefinierte Funktion
#Function#;#Function#
(/) Division;(/) Division
(#Left# / #Right#);(#Left# / #Right#)
Exponential value of a number;Exponenzieller Wert einer Zahl
(EXP) Exponential;(EXP) Exponenziell
Exponential(#Value#);Exponenziell(#Value#)
Returns day as YYYYMMDD number, comparable with Bar Time or Current Time values;Gibt einen Tag als YYYYMMDD Zahl zurück, vergleichbar mit der Kerzenzeit oder dem aktuellen Zeitwert
(DATE) GetDate;(DATE) GetDate
GetDate(#Day#, #Month#, #Year#);GetDate(#Day#, #Month#, #Year#)
Returns time as HHMMNN number, comparable with Bar Time or Current Time values;Gibt die Zeit als HHMMNN Zahl zurück, vergleichbar mit der Kerzenzeit oder dem aktuellen Zeitwert
(TIME) GetTime;(TIME) GetTime
GetTime(#Hour#, #Minute#, #Second#);GetTime(#Hour#, #Minute#, #Second#)
Highest value of indicator in given period;Höchster Wert des Indikators in gegebener Periode
Period (bars back) in which indicator highest value is checked;Periode (Kerzenrückblick) in welcher der höchste Indikatorenwert gemessen wird
Nth highest value in given period. ) means highest value, 1 means second highest value, etc.;Nt-höchster Wert in gegebener Periode. ) bedeutet Höchstwert, 1 bedeutet zweithöchster usw.
(IH) Indicator Highest Value;(IH) Indikator-Höchstwert
Indicator Highest(#NthValue#, #Period#, #Indicator#);Indikator-Höchstwert(#NthValue#, #Period#, #Indicator#)
Nth highest value;Nt-höchster Wert
Lowest value of indicator in given period;Niedrigster Wert des Indikators in gegebener Periode
Period (bars back) in which indicator lowest value is checked;Periode (Kerzenrückblick) in welcher der niedrigste Indikatorenwert gemessen wird
Nth lowest value in given period. ) means lowest value, 1 means second lowest value, etc.;Nt-niedrigster Wert in gegebener Periode. ) bedeutet Minimalwert, 1 bedeutet zweitniedrigster usw.
(IL) Indicator Lowest Value;(IL) Indikator-Minimalwert
Indicator Lowest(#NthValue#, #Period#, #Indicator#);Indikator-Minimalwert(#NthValue#, #Period#, #Indicator#)
Nth lowest value;Nt-niedrigster Wert
(LOG) Log;(LOG) Log
Log(#Value#);Log(#Value#)
Maximum of two values;Maximum von zwei Werten
(MAX) Maximum;(MAX) Maximum
Max(#Value1#, #Value2#);Max(#Value1#, #Value2#)
Minimum of two values;Minimum von zwei Werten
(MIN) Minimum;(MIN) Minimum
Min(#Value1#, #Value2#);Min(#Value1#, #Value2#)
(-) Minus;(-) Minus
(#Left# - #Right#);(#Left# - #Right#)
(*) Multiplication;(*) Multiplikation
(#Left# * #Right#);(#Left# * #Right#)
(+) Plus;(+) Plus
(#Left# + #Right#);(#Left# + #Right#)
Returns the most recent value of indicator in the last X bars.;Gibt den aktuellsten Wert des Indikators in den letzten X Kerzen zurück.
Number of bars back for which the indicator value is checked;Anzahl an vergangenen Kerzen, für die der Indikatorwert geprüft wird
Recent(#Indicator#);Zuletzt(#Indicator#)
Rounds value to given decimal places;Rundet den Wert auf gegebene Dezimalstellenanzahl
(RND) Round;(RND) Runden
Round(#Value#, #Decimals#);Runden(#Value#, #Decimals#)
(SQRT) Sqrt;(SQRT) Quadratwurzel
Sqrt(#Value#);Quadratwurzel(#Value#)
(ADX) Average Directional Movement Index;(ADX) Average Directional Movement Index
ADX(#Period#, #Line#)[#Shift#];ADX(#Period#, #Line#)[#Shift#]
Input;Eingabe
Is triggered if ADX changes direction downwards;Wird ausgelöst, wenn der ADX die Richtung nach unten ändert
(ADX) ADX changes direction downwards;(ADX) ADX ändert die Richtung nach unten
ADX(#Period#) changes direction downwards;ADX(#Period#) ändert die Richtung nach unten
Is triggered if ADX changes direction upwards;Wird ausgelöst, wenn der ADX die Richtung nach oben ändert
(ADX) ADX changes direction upwards;(ADX) ADX ändert die Richtung nach oben
ADX(#Period#) changes direction upwards;ADX(#Period#) ändert die Richtung nach oben
(ADX) ADX crosses below Level;(ADX) ADX kreuzt Ebene nach unten
ADX(#Period#) crosses below #Level#;ADX(#Period#) kreuzt #Level# nach unten
(ADX) ADX crosses above Level;(ADX) ADX kreuzt Ebene nach oben
ADX(#Period#) crosses above #Level#;ADX(#Period#) kreuzt #Level# nach oben
Is triggered if ADX is falling;Wird ausgelöst, wenn der ADX fällt
(ADX) ADX is falling;(ADX) ADX fällt
ADX(#Period#) is falling;ADX(#Period#) fällt
(ADX) ADX is higher than Level;(ADX) ADX ist höher als die Ebene
ADX(#Period#) > #Level#;ADX(#Period#) > #Level#
(ADX) ADX is lower than Level;(ADX) ADX ist niedriger als die Ebene
ADX(#Period#) < #Level#;ADX(#Period#) < #Level#
Is triggered if ADX is rising;Wird ausgelöst, wenn der ADX steigt
(ADX) ADX is rising;(ADX) ADX steigt
ADX(#Period#) is rising;ADX(#Period#) steigt
(AO) Aroon;(AO) Aroon
Aroon(#Period#).#Line#[#Shift#];Aroon(#Period#).#Line#[#Shift#]
Is triggered if Aroon Up crosses above Aroon Down;Wird ausgelöst, wenn Aroon Up Aroon Down nach oben kreuzt
(AO) Aroon Up crosses above Aroon Down;(AO) Aroon Up kreuzt Aroon Down nach oben
Aroon(#Period#).Up crosses above Aroon Down;Aroon(#Period#).Up kreuzt Aroon Down nach oben
Is triggered if Aroon Up crosses below Aroon Down;Wird ausgelöst, wenn Aroon Up Aroon Down nach unten kreuzt
(AO) Aroon Up crosses below Aroon Down;(AO) Aroon Up kreuzt Aroon Down nach unten
Aroon(#Period#).Up crosses below Aroon Down;Aroon(#Period#).Up kreuzt Aroon Down nach unten
Is triggered if Aroon Down falls from top and Aroon Up is around middle of the range;Wird ausgelöst, wenn Aroon Down vom Maximalwert abfällt und Aroon Up sich im mittleren Bereich befindet
(AO) Aroon Down falls from top;(AO) Aroon Down fällt vom Maximalwert ab
Aroon(#Period#).Down falls from top;Aroon(#Period#).Down fällt vom Maximalwert ab
Is triggered if Aroon Up rises from bottom and Aroon Down is around middle of the range;Wird ausgelöst, wenn Aroon Up vom Minimmalwert aufsteigt und Aroon Down sich im mittleren Bereich befindet
(AO) Aroon Up rises from bottom;(AO) Aroon Up steigt vom Minimalwert auf
Aroon(#Period#).Up rises from bottom;Aroon(#Period#).Up steigt vom Minimalwert auf
(ATR) Average True Range;(ATR) Average True Range
ATR(#Period#)[#Shift#];ATR(#Period#)[#Shift#]
Is triggered if ATR changes direction downwards;Wird ausgelöst, wenn der ATR die Richtung nach unten ändert
(ATR) ATR changes direction downwards;(ATR) ATR ändert die Richtung nach unten
ATR(#Period#) changes direction downwards;ATR(#Period#) ändert die Richtung nach unten
Is triggered if ATR changes direction upwards;Wird ausgelöst, wenn der ATR die Richtung nach oben ändert
(ATR) ATR changes direction upwards;(ATR) ATR ändert die Richtung nach oben
ATR(#Period#) changes direction upwards;ATR(#Period#) ändert die Richtung nach oben
(ATR) ATR crosses below Level;(ATR) ATR kreuzt die Ebene nach unten
ATR(#Period#) crosses below #Level#;ATR(#Period#) kreuzt die Ebene #Level# nach unten
(ATR) ATR crosses above Level;(ATR) ATR kreuzt die Ebene nach oben
ATR(#Period#) crosses above #Level#;ATR(#Period#) kreuzt die Ebene #Level# nach oben
Is triggered if ATR is falling;Wird ausgelöst, wenn der ATR fällt
(ATR) ATR is falling;(ATR) ATR fällt
ATR(#Period#) is falling;ATR(#Period#) fällt
(ATR) ATR is higher than Level;(ATR) ATR ist höher als die Ebene
ATR(#Period#) > #Level#;ATR(#Period#) > #Level#
(ATR) ATR is lower than Level;(ATR) ATR ist niedriger als die Ebene
ATR(#Period#) < #Level#;ATR(#Period#) < #Level#
Is triggered if ATR is rising;Wird ausgelöst wenn der ATR steigt
(ATR) ATR is rising;(ATR) ATR steigt
ATR(#Period#) is rising;ATR(#Period#) steigt
(AV) Average Volume;(AV) Average Volume
AV(#Period#)[#Shift#];AV(#Period#)[#Shift#]
(AV) Average Volume is falling;(AV) Average Volume fällt
AV(#Period#)[#Shift#] is falling;AV(#Period#)[#Shift#] fällt
(AV) Average Volume is rising;(AV) Average Volume steigt
AV(#Period#)[#Shift#] is rising;AV(#Period#)[#Shift#] steigt
Is triggered if Volume is falling;Wird ausgelöst, wenn Volume fällt
(VOL) Volume is falling;(VOL) Volume  fällt
Volume is falling;Volume fällt
Is triggered if Volume is rising;Wird ausgelöst, wenn Volume steigt
(VOL) Volume is rising;(VOL) Volume steigt
Volume is rising;Volume steigt
(AWO) Awesome Oscillator;(AWO) Awesome Oscillator
AwesomeOscillator()[#Shift#];AwesomeOscillator()[#Shift#]
Is triggered if AWO changes direction downwards;Wird ausgelöst, wenn AWO die Richtung nach unten ändert
(AWO) Awesome Oscillator changes direction downwards;(AWO) Awesome Oscillator ändert die Richtung nach unten
AwesomeOscillator() changes direction downwards;AwesomeOscillator() ändert die Richtung nach unten
Is triggered if Awesome Oscillator changes direction upwards;Wird ausgelöst, wenn AWO die Richtung nach oben ändert
(AWO) Awesome Oscillator changes direction upwards;(AWO) Awesome Oscillator ändert die Richtung nach oben
AwesomeOscillator() changes direction upwards;AwesomeOscillator() ändert die Richtung nach oben
(AWO) Awesome Oscillator crosses below Level;(AWO) Awesome Oscillator kreuzt die Ebene nach unten
AwesomeOscillator() crosses below #Level#;AwesomeOscillator() kreuzt die Ebene #Level# nach unten
(AWO) Awesome Oscillator crosses above Level;(AWO) Awesome Oscillator kreuzt die Ebene nach oben
AwesomeOscillator() crosses above #Level#;AwesomeOscillator() kreuzt die Ebene #Level# nach oben
Is triggered if Awesome Oscillator is falling;Wird ausgelöst, wenn Awesome Oscillator fällt
(AWO) Awesome Oscillator is falling;(AWO) Awesome Oscillator fällt
AwesomeOscillator() is falling;AwesomeOscillator() fällt
(AWO) Awesome Oscillator is higher than Level;(AWO) Awesome Oscillator ist höher als die Ebene
AwesomeOscillator() > #Level#;AwesomeOscillator() > #Level#
(AWO) Awesome Oscillator is lower than Level;(AWO) Awesome Oscillator ist niedriger als die Ebene
AwesomeOscillator() < #Level#;AwesomeOscillator() < #Level#
Is triggered if Awesome Oscillator is rising;Wird ausgelöst, wenn der Awesome Oscillator steigt
(AWO) Awesome Oscillator is rising;(AWO) Awesome Oscillator steigt
AwesomeOscillator() is rising;AwesomeOscillator() steigt
(BR) BarRange;(BR) BarRange
BarRange[#Shift#];BarRange[#Shift#]
returns value of biggest range (high - low of one candle) of candles in given period;Gibt den Wert des größten Bereichs (High - Low einer Kerze) für die Kerzen der gegebene Periode zurück
(BRNG) Biggest Range;(BRNG) Größter Bereich
BiggestRange(#Period#)[#Shift#];BiggestRange(#Period#)[#Shift#]
returns highest high of candles in given time range;Gibt das höchste High der Kerzen im gegebenen Zeitbereich zurück
(HRNG) Highest in range;(HRNG) Höchstes im Bereich
HighestInRange(#TimeFrom#, #TimeTo#);HighestInRange(#TimeFrom#, #TimeTo#)
returns lowest low of candles in given time range;Gibt das niedrigste Low der Kerzen im gegebenen Zeitbereich zurück
(LRNG) Lowest in range;(LRNG) Niedrigstes im Bereich
LowestInRange(#TimeFrom#, #TimeTo#);LowestInRange(#TimeFrom#, #TimeTo#)
returns value of smallest range (high - low of one candle) of candles in given period;Gibt den Wert des kleinsten Bereichs (High - Low einer Kerze) für die Kerzen der gegebene Periode zurück
(SRNG) Smallest Range;(SRNG) Kleinster Bereich
SmallestRange(#Period#)[#Shift#];SmallestRange(#Period#)[#Shift#]
(BP) Bears Power;(BP) Bears Power
BearsPower(#Period#, #ComputedFrom#)[#Shift#];BearsPower(#Period#, #ComputedFrom#)[#Shift#]
Is triggered if Bears Power changes direction downwards;Wird ausgelöst, wenn Bears Power die Richtung nach unten ändert
(BEP) Bears Power changes direction downwards;(BEP) Bears Power ändert die Richtung nach unten
BearsPower(#Period#) changes direction downwards;BearsPower(#Period#) ändert die Richtung nach unten
Is triggered if Bears Power changes direction upwards;Wird ausgelöst, wenn Bears Power die Richtung nach oben ändert
(BEP) Bears Power changes direction upwards;(BEP) Bears Power ändert die Richtung nach oben
BearsPower(#Period#) changes direction upwards;BearsPower(#Period#) ändert die Richtung nach oben
(BEP) Bears Power crosses below Level;(BEP) Bears Power kreuzt die Ebene nach unten
BearsPower(#Period#) crosses below #Level#;BearsPower(#Period#) kreuzt die Ebene #Level# nach unten
(BEP) Bears Power crosses above Level;(BEP) Bears Power kreuzt die Ebene nach oben
BearsPower(#Period#) crosses above #Level#;BearsPower(#Period#) kreuzt die Ebene #Level# nach oben
Is triggered if Bears Power is falling;Wird ausgelöst, wenn Bears Power fällt
(BEP) Bears Power is falling;(BEP) Bears Power fällt
BearsPower(#Period#) is falling;BearsPower(#Period#)fällt
(BEP) Bears Power is higher than Level;(BEP) Bears Power ist höher als die Ebene
BearsPower(#Period#) > #Level#;BearsPower(#Period#) > #Level#
(BEP) Bears Power is lower than Level;(BEP) Bears Power ist niedriger als die Ebene
BearsPower(#Period#) < #Level#;BearsPower(#Period#) < #Level#
Is triggered if Bears Power is rising;Wird ausgelöst, wenn Bears Power steigt
(BEP) Bears Power is rising;(BEP) Bears Power steigt
BearsPower(#Period#) is rising;BearsPower(#Period#) steigt
(BB) Bar closes above Lower band;(BB) Bar schließt über dem unteren Band
Bar closes above BB(#Period#, #Deviation#).Lower;Kerze schließt über BB(#Period#, #Deviation#).Lower
(BB) Bar closes above Upper band;(BB) Kerze schließt über dem oberen Band
Bar closes above BB(#Period#, #Deviation#).Upper;Kerze schließt über BB(#Period#, #Deviation#).Upper
(BB) Bar closes below Lower band;(BB) Kerze schließt unter dem unteren Band
Bar closes below BB(#Period#, #Deviation#).Lower;Kerze schließt unter BB(#Period#, #Deviation#).Lower
(BB) Bar closes below Upper band;(BB) Kerze schließt unter dem oberen Band
Bar closes below BB(#Period#, #Deviation#).Upper;Kerze schließt unter BB(#Period#, #Deviation#).Upper
(BB) Bar opens above Lower band;(BB) Kerze öffnet über dem unteren Band
Bar opens above BB(#Period#, #Deviation#).Lower;Kerze öffnet über BB(#Period#, #Deviation#).Lower
(BB) Bar opens above Lower band after opened below;(BB) Kerze öffnet über dem unteren Band, nachdem sie darunter öffnete
Bar opens above BB(#Period#, #Deviation#).Lower after opened below;Kerze öffnet über BB(#Period#, #Deviation#).Lower nachdem sie darunter öffnete
(BB) Bar opens above Upper band;(BB) Kerze öffnet über dem oberen Band
Bar opens above BB(#Period#, #Deviation#).Upper;Kerze öffnet über BB(#Period#, #Deviation#).Upper
(BB) Bar opens above Upper band after opened below;(BB) Kerze öffnet über dem oberen Band, nachdem sie darunter öffnete
Bar opens above BB(#Period#, #Deviation#).Upper after opened below;Kerze öffnet über BB(#Period#, #Deviation#).Upper nachdem sie darunter öffnete
(BB) Bar opens below Lower band;(BB) Kerze öffnet unter dem unteren Band
Bar opens below BB(#Period#, #Deviation#).Lower;Kerze öffnet unter BB(#Period#, #Deviation#).Lower
(BB) Bar opens below Lower band after opened above;(BB) Kerze öffnet unter dem unteren Band, nachdem sie darüber öffnete
Bar opens below BB(#Period#, #Deviation#).Lower after opened above;Kerze öffnet unter BB(#Period#, #Deviation#).Lower nachdem sie darüber öffnete
(BB) Bar opens below Upper band;(BB) Kerze öffnet unter dem oberen Band
Bar opens below BB(#Period#, #Deviation#).Upper;Kerze öffnet unter BB(#Period#, #Deviation#).Upper
(BB) Bar opens below Upper band after opened above;(BB) Kerze öffnet unter dem oberen Band, nachdem sie darüber öffnete
Bar opens below BB(#Period#, #Deviation#).Upper after opened above;Kerze öffnet unter BB(#Period#, #Deviation#).Upper nachdem sie darüber öffnete
Is triggered if BB is falling;Wird ausgelöst, wenn BB fällt
(BB) Lower band is falling;(BB) Unteres Band fällt
BB(#Period#, #Deviation#).Lower is falling;BB(#Period#, #Deviation#).Lower fällt
Is triggered if BB is rising;Wird ausgelöst, wenn BB steigt
(BB) Lower band is rising;(BB) Unteres Band steigt
BB(#Period#, #Deviation#).Lower is rising;BB(#Period#, #Deviation#).Lower steigt
(BBR) BB Range;(BBR) BB-Bereich
BB Range(#Period#, #Deviation#)[#Shift#];BB-Bereich(#Period#, #Deviation#)[#Shift#]
(BB) Upper band is falling;(BB) Oberes Band fällt
BB(#Period#, #Deviation#).Upper is falling;BB(#Period#, #Deviation#).Upper fällt
(BB) Upper band is rising;(BB) Oberes Band steigt
BB(#Period#, #Deviation#).Upper is rising;BB(#Period#, #Deviation#).Upper steigt
(BBWR) BB Width Ratio;(BBWR) BB-Abstands
BB WR(#Period#, #Deviation#)[#Shift#];BB WR(#Period#, #Deviation#)[#Shift#]
(BB) Bollinger Bands;(BB) Bollinger Bänder
BollingerBands(#Period#, #Deviation#).#Line#[#Shift#];BollingerBands(#Period#, #Deviation#).#Line#[#Shift#]
(BUP) Bulls Power;(BUP) Bulls Power
BullsPower(#Period#, #ComputedFrom#)[#Shift#];BullsPower(#Period#, #ComputedFrom#)[#Shift#]
Is triggered if Bulls Power changes direction downwards;Wird ausgelöst, wenn Bulls Power die Richtung nach unten ändert
(BUP) Bulls Power changes direction downwards;(BUP) Bulls Power ändert die Richtung nach unten
BullsPower(#Period#) changes direction downwards;BullsPower(#Period#) ändert die Richtung nach unten
Is triggered if Bulls Power changes direction upwards;Wird ausgelöst, wenn Bulls Power die Richtung nach oben ändert
(BUP) Bulls Power changes direction upwards;(BUP) Bulls Power ändert die Richtung nach oben
BullsPower(#Period#) changes direction upwards;BullsPower(#Period#) ändert die Richtung nach oben
(BUP) Bulls Power crosses below Level;(BUP) Bulls Power kreuzt die Ebene nach unten
BullsPower(#Period#) crosses below #Level#;BullsPower(#Period#) kreuzt die Ebene #Level# nach unten
(BUP) Bulls Power crosses above Level;(BUP) Bulls Power kreuzt die Ebene nach oben
BullsPower(#Period#) crosses above #Level#;BullsPower(#Period#) kreuzt die Ebene #Level# nach oben
Is triggered if Bulls Power is falling;Wird ausgelöst, wenn Bulls Power fällt
(BUP) Bulls Power is falling;(BUP) Bulls Power fällt
BullsPower(#Period#) is falling;BullsPower(#Period#)fällt
(BUP) Bulls Power is higher than Level;(BUP) Bulls Power ist höher als die Ebene
BullsPower(#Period#) > #Level#;BullsPower(#Period#) > #Level#
(BUP) Bulls Power is lower than Level;(BUP) Bulls Power ist niedriger als die Ebene
BullsPower(#Period#) < #Level#;BullsPower(#Period#) < #Level#
Is triggered if Bulls Power is rising;Wird ausgelöst, wenn Bulls Power steigt
(BUP) Bulls Power is rising;(BUP) Bulls Power steigt
BullsPower(#Period#) is rising;BullsPower(#Period#) steigt
Commodity channel index;Commodity channel index
(CCI) Commodity Channel Index;(CCI) Commodity Channel Index
CCI(#Period#)[#Shift#];CCI(#Period#)[#Shift#]
Is triggered if CCI changes direction downwards;Wird ausgelöst, wenn CCI die Richtung nach unten ändert
(CCI) CCI changes direction downwards;(CCI) CCI ändert die Richtung nach unten
CCI(#Period#) changes direction downwards;CCI(#Period#) ändert die Richtung nach unten
Is triggered if CCI changes direction upwards;Wird ausgelöst, wenn CCI die Richtung nach oben ändert
(CCI) CCI changes direction upwards;(CCI) CCI ändert die Richtung nach oben
CCI(#Period#) changes direction upwards;CCI(#Period#) ändert die Richtung nach oben
(CCI) CCI crosses below Level;(CCI) CCI kreuzt die Ebene nach unten
CCI(#Period#) crosses below #Level#;CCI(#Period#) kreuzt die Ebene #Level# nach unten
(CCI) CCI crosses above Level;(CCI) CCI kreuzt die Ebene nach oben
CCI(#Period#) crosses above #Level#;CCI(#Period#) kreuzt die Ebene #Level# nach oben
Is triggered if CCI is falling;Wird ausgelöst, wenn CCI fällt
(CCI) CCI is falling;(CCI) CCI fällt
CCI(#Period#) is falling;CCI(#Period#) fällt
(CCI) CCI is higher than Level;(CCI) CCI ist höher als die Ebene
CCI(#Period#) > #Level#;CCI(#Period#) > #Level#
(CCI) CCI is lower than Level;(CCI) CCI ist niedriger als die Ebene
CCI(#Period#) < #Level#;CCI(#Period#) < #Level#
Is triggered if CCI is rising;Wird ausgelöst, wenn CCI steigt
(CCI) CCI is rising;(CCI) CCI steigt
CCI(#Period#) is rising;CCI(#Period#) steigt
DeMarker;DeMarker
(DE) DeMarker;(DE) DeMarker
DeMarker(#Period#)[#Shift#];DeMarker(#Period#)[#Shift#]
Is triggered if DeMarker changes direction downwards;Wird ausgelöst, wenn DeMarker die Richtung nach unten ändert
(DEM) DeMarker changes direction downwards;(DEM) DeMarker ändert die Richtung nach unten
DeMarker(#Period#) changes direction downwards;DeMarker(#Period#) ändert die Richtung nach unten
Is triggered if DeMarker changes direction upwards;Wird ausgelöst, wenn DeMarker die Richtung nach oben ändert
(DEM) DeMarker changes direction upwards;(DEM) DeMarker ändert die Richtung nach oben
DeMarker(#Period#) changes direction upwards;DeMarker(#Period#) ändert die Richtung nach oben
(DEM) DeMarker crosses below Level;(DEM) DeMarker kreuzt die Ebene nach unten
DeMarker(#Period#) crosses below #Level#;DeMarker(#Period#) kreuzt die Ebene #Level# nach unten
(DEM) DeMarker crosses above Level;(DEM) DeMarker kreuzt die Ebene nach oben
DeMarker(#Period#) crosses above #Level#;DeMarker(#Period#) kreuzt die Ebene #Level# nach oben
Is triggered if DeMarker is falling;Wird ausgelöst, wenn DeMarker fällt
(DEM) DeMarker is falling;(DEM) DeMarker fällt
DeMarker(#Period#) is falling;DeMarker(#Period#) fällt
(DEM) DeMarker is higher than Level;(DEM) DeMarker ist höher als die Ebene
DeMarker(#Period#) > #Level#;DeMarker(#Period#) > #Level#
(DEM) DeMarker is lower than Level;(DEM) DeMarker ist niedriger als die Ebene
DeMarker(#Period#) < #Level#;DeMarker(#Period#) < #Level#
Is triggered if DeMarker is rising;Wird ausgelöst, wenn DeMarker steigt
(DEM) DeMarker is rising;(DEM) DeMarker steigt
DeMarker(#Period#) is rising;DeMarker(#Period#) steigt
(DI+) DI+ crosses below DI-;(DI+) DI+ kreuzt DI- nach unten
DI+(#Period#) crosses below DI-(#Period#);DI+(#Period#) kreuzt DI-(#Period#) nach unten
(DI+) DI+ crosses above DI-;(DI+) DI+ kreuzt DI- nach oben
DI+(#Period#) crosses above DI-(#Period#);DI+(#Period#) kreut DI-(#Period#) nach oben
